"";"ships_from";"ships_to";"successful_transactions"
"1";"NL";"EU";90
"2";"NL";"EU";90
"3";"NL";"EU";620
"4";"FR";"EU";15
"5";"NL";"WW";28
"6";"NL";"WW";28
"7";"NL";"WW";28
"8";"NL";"WW";28
"9";"NL";"WW";28
"10";"GB";"GB";380
"11";"GB";"GB";380
"12";"GB";"GB";380
"13";"GB";"GB";380
"14";"GB";"GB";380
"15";"GB";"GB";380
"16";"GB";"GB";380
"17";"GB";"GB";380
"18";"GB";"GB";380
"19";"GB";"GB";380
"20";"GB";"GB";380
"21";"GB";"GB";380
"22";"GB";"GB";380
"23";"GB";"GB";380
"24";"DE";"DE, EU";100
"25";"DE";"DE, EU";100
"26";"DE";"DE, EU";100
"27";"DE";"DE, EU";100
"28";"DE";"DE, EU";100
"29";"GB";"EU";140
"30";"GB";"EU";140
"31";"GB";"EU";140
"32";"GB";"EU";140
"33";"GB";"EU";140
"34";"NL";"WW, EU";13
"35";"NL";"WW, EU";13
"36";"NL";"WW, EU";13
"37";"NL";"WW, EU";13
"38";"NL";"WW, EU";13
"39";"NL";"WW, EU";13
"40";"DE";"DE";740
"41";"DE";"DE";740
"42";"DE";"DE";740
"43";"DE";"DE";740
"44";"DE";"DE";740
"45";"DE";"DE";740
"46";"DE";"DE";740
"47";"DE";"DE";740
"48";"DE";"DE";740
"49";"DE";"DE";740
"50";"US";"WW";160
"51";"US";"US";110
"52";"US";"US, WW";840
"53";"US";"US";110
"54";"US";"US";110
"55";"US";"WW";160
"56";"AU";"AU";15
"57";"AU";"AU";15
"58";"US";"US";110
"59";"DE";"EU, DE";80
"60";"DE";"WW";40
"61";"NL";"EU, WW";32
"62";"NL";"EU";720
"63";"DE";"WW";660
"64";"DE";"EU, WW";80
"65";"DE";"WW";40
"66";"NL";"WW, NL";130
"67";"DE";"EU, DE";80
"68";"DE";"DE";1700
"69";"NL";"WW";28
"70";"DE";"WW";660
"71";"US";"US";370
"72";"NL";"EU";720
"73";"FR";"FR, EU";540
"74";"NL";"EU, WW";32
"75";"ES";"EU, N. America";470
"76";"DE";"EU";380
"77";"NL";"WW, EU";620
"78";"NL";"WW, EU";620
"79";"NL";"WW, EU";430
"80";"NL";"EU";350
"81";"GB";"GB, WW";40
"82";"GB";"GB";500
"83";"NL";"WW";300
"84";"NL";"WW";110
"85";"NL";"EU, WW";60
"86";"GB";"GB, WW";40
"87";"GB";"WW";2350
"88";"GB";"GB, EU";1950
"89";"US";"US";110
"90";"NL";"WW";4
"91";"GB";"GB, EU";60
"92";"GB";"EU";1150
"93";"GB";"GB, WW";40
"94";"DE";"EU";40
"95";"GB";"GB, WW";40
"96";"GB";"GB, EU";1950
"97";"GB";"GB, WW";40
"98";"GB";"GB, WW";40
"99";"FR";"WW";17
"100";"DE";"WW";540
"101";"NL";"EU";350
"102";"DE";"DE, WW";28
"103";"NL";"WW";110
"104";"GB";"EU";1150
"105";"NL";"EU";180
"106";"BE";"WW";70
"107";"GB";"GB, EU";110
"108";"GB";"GB, EU";110
"109";"GB";"GB, EU";110
"110";"GB";"GB, EU";110
"111";"GB";"GB, WW";270
"112";"FR";"WW";260
"113";"NL";"WW";100
"114";"EU";"EU";130
"115";"GB";"GB, IE";200
"116";"GB";"WW";190
"117";"GB";"WW";190
"118";"NL";"EU";230
"119";"GB";"GB";14
"120";"DE";"WW, US";230
"121";"DE";"DE, NL";150
"122";"DE";"EU, GB";20
"123";"DE";"EU, GB";20
"124";"WW";"WW";50
"125";"NL";"WW, EU";40
"126";"NL";"WW";540
